"collectionCode","catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"Fish","75889","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75909","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75890","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75899","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75901","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75896","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75904","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75955","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75897","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75953","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75954","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75959","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75958","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79198","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79196","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79195","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79197","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79194","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79193","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79192","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180959","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75956","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79167","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75906","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75900","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75894","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75893","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75903","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75892","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75902","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79170","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79154","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79166","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79163","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79162","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79164","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75895","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75905","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75907","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","79171","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75908","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","75891","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180145","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180146","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180144","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","180143","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18799","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18800","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24047","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24349","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24048","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24042","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24050","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24051","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24041","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24046","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24043","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24347","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24038","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24039","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24049","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","57443","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","24324","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","22990","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20183","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19923","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19917","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19915","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19913","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20198","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19932","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19931","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20182","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20243","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20180","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19928","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20184","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18824","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18826","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18846","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18845","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18842","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18844","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18841","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20181","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18819","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20197","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20193","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20033","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19921","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19920","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19922","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18806","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18373","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19919","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18821","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19918","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18820","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18816","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18818","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18817","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19929","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19933","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19930","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18839","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18807","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19916","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18843","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19619","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19610","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20035","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19621","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20188","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20185","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20189","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19643","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19914","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19644","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18809","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18827","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18825","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18374","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18830","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18829","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18828","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18831","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20192","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18833","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18808","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18575","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18815","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18814","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18813","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18812","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18811","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18810","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19620","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18672","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18840","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18834","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","83143","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18782","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18822","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","18823","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","20199","Atlantic Ocean",,,"Atlantic Ocean"
"Fish","19642","Atlantic Ocean",,,"Atlantic Ocean"
