"collectionCode","catalogNumber","decimalLatitude","decimalLongitude","error"
"Fish","163168","31.92945",,"missing decimalLongitude"
"Fish","163170","31.92945",,"missing decimalLongitude"
"Fish","163165","31.92945",,"missing decimalLongitude"
"Fish","163162","31.92945",,"missing decimalLongitude"
"Fish","163163","31.92945",,"missing decimalLongitude"
"Fish","36986","31.175",,"missing decimalLongitude"
"Fish","36984","31.175",,"missing decimalLongitude"
"Fish","36985","31.175",,"missing decimalLongitude"
"Fish","36983","31.175",,"missing decimalLongitude"
"Fish","36982","31.175",,"missing decimalLongitude"
"Fish","37051","31.175",,"missing decimalLongitude"
"Fish","37050","31.175",,"missing decimalLongitude"
"Fish","37049","31.175",,"missing decimalLongitude"
"Fish","78184",,"-87.45333","missing decimalLatitude"
"Fish","78183",,"-87.45333","missing decimalLatitude"
"Fish","78179",,"-87.45333","missing decimalLatitude"
"Fish","78185",,"-87.45333","missing decimalLatitude"
"Fish","78178",,"-87.45333","missing decimalLatitude"
"Fish","78182",,"-87.45333","missing decimalLatitude"
"Fish","78180",,"-87.45333","missing decimalLatitude"
"Fish","78187",,"-87.45333","missing decimalLatitude"
"Fish","78181",,"-87.45333","missing decimalLatitude"
"Fish","78186",,"-87.45333","missing decimalLatitude"
"Fish","78177",,"-87.45333","missing decimalLatitude"
"Fish","78188",,"-87.45333","missing decimalLatitude"
"Fish","90999","31.92945",,"missing decimalLongitude"
"Fish","90993","31.92945",,"missing decimalLongitude"
"Fish","90996","31.92945",,"missing decimalLongitude"
"Fish","90998","31.92945",,"missing decimalLongitude"
"Fish","91001","31.92945",,"missing decimalLongitude"
"Fish","90992","31.92945",,"missing decimalLongitude"
"Fish","90995","31.92945",,"missing decimalLongitude"
"Fish","90994","31.92945",,"missing decimalLongitude"
"Fish","91003","31.92945",,"missing decimalLongitude"
"Fish","91000","31.92945",,"missing decimalLongitude"
"Fish","91002","31.92945",,"missing decimalLongitude"
"Fish","90989","31.92945",,"missing decimalLongitude"
"Fish","90991","31.92945",,"missing decimalLongitude"
"Fish","90990","31.92945",,"missing decimalLongitude"
"Fish","90997","31.92945",,"missing decimalLongitude"
"Fish","101360","31.92945",,"missing decimalLongitude"
"Fish","101358","31.92945",,"missing decimalLongitude"
"Fish","101359","31.92945",,"missing decimalLongitude"
"Fish","101361","31.92945",,"missing decimalLongitude"
"Fish","101364","31.92945",,"missing decimalLongitude"
"Fish","101363","31.92945",,"missing decimalLongitude"
"Fish","101362","31.92945",,"missing decimalLongitude"
"Fish","105906","31.92945",,"missing decimalLongitude"
"Fish","105902","31.92945",,"missing decimalLongitude"
"Fish","105901","31.92945",,"missing decimalLongitude"
"Fish","105903","31.92945",,"missing decimalLongitude"
"Fish","105900","31.92945",,"missing decimalLongitude"
"Fish","105905","31.92945",,"missing decimalLongitude"
"Fish","105904","31.92945",,"missing decimalLongitude"
"Fish","105907","31.92945",,"missing decimalLongitude"
"Fish","108818","31.92945",,"missing decimalLongitude"
"Fish","108815","31.92945",,"missing decimalLongitude"
"Fish","108821","31.92945",,"missing decimalLongitude"
"Fish","108822","31.92945",,"missing decimalLongitude"
"Fish","108816","31.92945",,"missing decimalLongitude"
"Fish","108820","31.92945",,"missing decimalLongitude"
"Fish","108817","31.92945",,"missing decimalLongitude"
"Fish","108819","31.92945",,"missing decimalLongitude"
"Fish","112185","31.92945",,"missing decimalLongitude"
"Fish","112194","31.92945",,"missing decimalLongitude"
"Fish","112188","31.92945",,"missing decimalLongitude"
"Fish","112189","31.92945",,"missing decimalLongitude"
"Fish","112192","31.92945",,"missing decimalLongitude"
"Fish","112195","31.92945",,"missing decimalLongitude"
"Fish","112186","31.92945",,"missing decimalLongitude"
"Fish","112191","31.92945",,"missing decimalLongitude"
"Fish","112187","31.92945",,"missing decimalLongitude"
"Fish","112190","31.92945",,"missing decimalLongitude"
"Fish","112184","31.92945",,"missing decimalLongitude"
"Fish","112183","31.92945",,"missing decimalLongitude"
"Fish","112193","31.92945",,"missing decimalLongitude"
"Fish","116527","31.92945",,"missing decimalLongitude"
"Fish","116533","31.92945",,"missing decimalLongitude"
"Fish","116528","31.92945",,"missing decimalLongitude"
"Fish","116530","31.92945",,"missing decimalLongitude"
"Fish","116532","31.92945",,"missing decimalLongitude"
"Fish","116531","31.92945",,"missing decimalLongitude"
"Fish","116529","31.92945",,"missing decimalLongitude"
"Fish","116534","31.92945",,"missing decimalLongitude"
"Fish","121522","31.92945",,"missing decimalLongitude"
"Fish","121332","31.92945",,"missing decimalLongitude"
"Fish","121333","31.92945",,"missing decimalLongitude"
"Fish","121335","31.92945",,"missing decimalLongitude"
"Fish","121334","31.92945",,"missing decimalLongitude"
"Fish","121337","31.92945",,"missing decimalLongitude"
"Fish","121336","31.92945",,"missing decimalLongitude"
"Fish","123650","31.92945",,"missing decimalLongitude"
"Fish","123656","31.92945",,"missing decimalLongitude"
"Fish","123655","31.92945",,"missing decimalLongitude"
"Fish","123657","31.92945",,"missing decimalLongitude"
"Fish","123658","31.92945",,"missing decimalLongitude"
"Fish","123653","31.92945",,"missing decimalLongitude"
"Fish","123652","31.92945",,"missing decimalLongitude"
"Fish","123654","31.92945",,"missing decimalLongitude"
"Fish","123651","31.92945",,"missing decimalLongitude"
"Fish","124486","31.92945",,"missing decimalLongitude"
"Fish","124484","31.92945",,"missing decimalLongitude"
"Fish","124483","31.92945",,"missing decimalLongitude"
"Fish","124482","31.92945",,"missing decimalLongitude"
"Fish","124485","31.92945",,"missing decimalLongitude"
"Fish","128891","31.92945",,"missing decimalLongitude"
"Fish","128890","31.92945",,"missing decimalLongitude"
"Fish","128894","31.92945",,"missing decimalLongitude"
"Fish","128898","31.92945",,"missing decimalLongitude"
"Fish","128897","31.92945",,"missing decimalLongitude"
"Fish","128892","31.92945",,"missing decimalLongitude"
"Fish","128896","31.92945",,"missing decimalLongitude"
"Fish","128893","31.92945",,"missing decimalLongitude"
"Fish","128895","31.92945",,"missing decimalLongitude"
"Fish","134107","31.92945",,"missing decimalLongitude"
"Fish","134111","31.92945",,"missing decimalLongitude"
"Fish","134109","31.92945",,"missing decimalLongitude"
"Fish","134108","31.92945",,"missing decimalLongitude"
"Fish","134104","31.92945",,"missing decimalLongitude"
"Fish","134110","31.92945",,"missing decimalLongitude"
"Fish","134103","31.92945",,"missing decimalLongitude"
"Fish","134106","31.92945",,"missing decimalLongitude"
"Fish","134105","31.92945",,"missing decimalLongitude"
"Fish","136980","31.92945",,"missing decimalLongitude"
"Fish","136978","31.92945",,"missing decimalLongitude"
"Fish","136979","31.92945",,"missing decimalLongitude"
"Fish","136977","31.92945",,"missing decimalLongitude"
"Fish","139659","31.98083",,"missing decimalLongitude"
"Fish","139658","31.98083",,"missing decimalLongitude"
"Fish","139657","31.98083",,"missing decimalLongitude"
"Fish","139656","31.98083",,"missing decimalLongitude"
"Fish","139660","31.98083",,"missing decimalLongitude"
"Fish","139704","31.92945",,"missing decimalLongitude"
"Fish","139697","31.92945",,"missing decimalLongitude"
"Fish","139700","31.92945",,"missing decimalLongitude"
"Fish","139701","31.92945",,"missing decimalLongitude"
"Fish","139703","31.92945",,"missing decimalLongitude"
"Fish","139702","31.92945",,"missing decimalLongitude"
"Fish","139698","31.92945",,"missing decimalLongitude"
"Fish","139699","31.92945",,"missing decimalLongitude"
"Fish","143463","31.92945",,"missing decimalLongitude"
"Fish","143464","31.92945",,"missing decimalLongitude"
"Fish","143465","31.92945",,"missing decimalLongitude"
"Fish","143469","31.92945",,"missing decimalLongitude"
"Fish","143467","31.92945",,"missing decimalLongitude"
"Fish","143468","31.92945",,"missing decimalLongitude"
"Fish","143466","31.92945",,"missing decimalLongitude"
"Fish","143462","31.92945",,"missing decimalLongitude"
"Fish","145503","31.92945",,"missing decimalLongitude"
"Fish","145510","31.92945",,"missing decimalLongitude"
"Fish","145516","31.92945",,"missing decimalLongitude"
"Fish","145517","31.92945",,"missing decimalLongitude"
"Fish","145515","31.92945",,"missing decimalLongitude"
"Fish","145512","31.92945",,"missing decimalLongitude"
"Fish","145507","31.92945",,"missing decimalLongitude"
"Fish","145504","31.92945",,"missing decimalLongitude"
"Fish","144141","31.92945",,"missing decimalLongitude"
"Fish","144143","31.92945",,"missing decimalLongitude"
"Fish","144142","31.92945",,"missing decimalLongitude"
"Fish","144140","31.92945",,"missing decimalLongitude"
"Fish","144144","31.92945",,"missing decimalLongitude"
"Fish","144139","31.92945",,"missing decimalLongitude"
"Fish","145498","31.92945",,"missing decimalLongitude"
"Fish","145502","31.92945",,"missing decimalLongitude"
"Fish","145509","31.92945",,"missing decimalLongitude"
"Fish","145508","31.92945",,"missing decimalLongitude"
"Fish","145506","31.92945",,"missing decimalLongitude"
"Fish","145511","31.92945",,"missing decimalLongitude"
"Fish","145513","31.92945",,"missing decimalLongitude"
"Fish","145505","31.92945",,"missing decimalLongitude"
"Fish","145514","31.92945",,"missing decimalLongitude"
