"collectionCode","catalogNumber","verbatimDecimalLatitude","verbatimDecimalLongitude"
"Fish","180349","0","0"
"Fish","193549","0","0"
"Fish","194616","0","0"
"Fish","194647","0","0"
"Fish","194748","0","0"
"Fish","200478","0","0"
"Fish","200487","0","0"
"Fish","200488","0","0"
"Fish","200489","0","0"
"Fish","200490","0","0"
"Fish","200491","0","0"
