"collectionCode","catalogNumber","verbatimCountry","Country","verbatimStateProvince","StateProvince","verbatimCounty","County","verbatimMunicipality","Municipality"
"Fish","202705","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,"Tegucigalpa"
"Fish","202708","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,"Tegucigalpa"
"Fish","202706","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,"Tegucigalpa"
"Fish","202707","Honduras","Honduras","Tegucigalpa","Francisco Morazán",,"Distrito Central",,"Tegucigalpa"
"Fish","62073","Peru","Peru","Huanchaco","La Libertad",,"Trujillo",,"Huanchaco"
